"Store ID";"active";"name";"address1";"address2";"postcode";"state";"city";"country";"latitude";"longitude";"phone";"fax";"email";"note";"hours";"image"
"";"1";"I.A.E. DE CACERES";"AVDA. DE LA UNIVERSIDAD, 50";"";"10003";"364";"CÁCERES";"6";"39.4780948";"-6.3540268";"927628150";"";"";"1";"";""
"";"1";"I.A.E. DE CADIZ";"AVENIDA DE LA INDEPENDENCIA Nº1";"";"";"365";"CADIZ";"6";"36.5226981";"-6.2829055";"956292549";"";"";"1";"";""
"";"1";"I.A.E. DE CASTELLON DE LA PLANA";"C/BENICARLO, 21-D";"";"";"367";"CASTELLON DE LA PLANA";"6";"39.9876054";"-0.0338569";"964224600";"";"";"1";"";""
"";"1";"I.A.E. DE CEUTA";"AVDA. OTERO, 19";"";"";"403";"CEUTA";"242";"35.8854124";"-5.3316361";"956502760";"";"";"1";"";""
"";"1";"I.A.E. DE CIUDAD REAL";"C/PEDRERA BAJA, 25";"";"";"368";"CIUDAD REAL";"6";"38.9925515";"-3.9315577";"926271170";"";"";"1";"";""
"";"1";"I.A.E. DE CORDOBA";"AVDA. MEDINA AZAHARA, 2";"";"";"369";"CORDOBA";"6";"37.8852843";"-4.7896305";"957414111";"";"";"1";"";""
"";"1";"I.A.E. DE CORIA";"C/ ALFONSO VII, 62";"";"10800";"364";"CORIA";"6";"39.9918172";"-6.538572";"927500013";"";"";"1";"";""
"";"1";"I.A.E. DE CUENCA";"C/ DE LA GUARDIA CIVIL, 15";"";"";"370";"CUENCA";"6";"40.0612894";"-2.1439139";"969220500";"";"";"1";"";""
"";"1";"I.A.E. DE EIBAR";"C/ EGUIGUREN TARREN, Nº 3-5";"";"20600";"374";"EIBAR";"6";"43.1825727";"-2.4768378";"943202125";"";"";"1";"";""
"";"1";"I.A.E. DE GIJON";"C/IRENE FERNANDEZ PERERA, S/N";"";"";"358";"GIJON";"6";"43.5182157";"-5.6690029";"985991176";"";"";"1";"";""
"";"1";"I.A.E. DE GIRONA";"C/EMILIO GRAHIT, 52";"";"";"371";"GIRONA";"6";"41.9736066";"2.8239943";"972208650";"";"";"1";"";""
"";"1";"I.A.E. DE GRANADA";"C/ PEDRO MACHUCA 4-6";"";"";"372";"GRANADA";"6";"37.2033131";"-3.6075731";"958185922";"";"";"1";"";""
"";"1";"I.A.E. DE GUADALAJARA";"AVDA. CASTILLA, 9";"";"";"373";"GUADALAJARA";"6";"40.6264611";"-3.1705457";"949247979";"";"";"1";"";""
"";"1";"I.A.E. DE GUADALUPE";"C/ FEDERICO GONZALEZ, 25";"";"10140";"364";"GUADALUPE";"6";"39.4498913";"-5.3253688";"927367010";"";"";"1";"";""
"";"1";"I.A.E. DE GUIPUZCOA";"PASEO BARATZATEGI, 60 BAJO";"";"";"374";"DONOSTIA-SAN SEBASTIAN";"6";"43.3134203";"-1.9501739";"943275450";"";"";"1";"";""
"";"1";"I.A.E. DE HUELVA";"C/ GUADALCANAL, 1";"";"";"375";"HUELVA";"6";"37.2659804";"-6.9538638";"959241900";"";"";"1";"";""
"";"1";"I.A.E. DE HUESCA";"AVDª MARTINEZ DE VELASCO, 83";"";"";"376";"HUESCA";"6";"42.1275861";"-0.4269969";"974215548";"";"";"1";"";""
"";"1";"I.A.E. DE IRÚN";"C/ ARTURO CAMPION, Nº 10, BAJO";"";"20303";"374";"IRÚN";"6";"43.3360313";"-1.8039744";"943633019";"";"";"1";"";""
"";"1";"I.A.E. DE JAEN";"AVDA. EJERCITO ESPAÑOL, 10";"";"";"377";"JAEN";"6";"37.7744492";"-3.7935935";"953276967";"";"";"1";"";""
"";"1";"I.A.E. DE LA ZONA DE MADRID";"C/ BATALLA DEL SALADO, 32";"";"28045";"383";"MADRID";"6";"40.3990769";"-3.6986647";"915146900";"";"";"1";"";""
"";"1";"I.A.E. DE LAS PALMAS DE GRAN CANARIA";"C/ALICANTE, 7-9";"";"";"379";"PALMAS DE GRAN CANARIA (LAS)";"243";"28.0884531";"-15.4181722";"928320400";"";"";"1";"";""
"";"1";"I.A.E. DE LEON";"AVDA. FERNANDEZ LADREDA, 65";"";"";"380";"LEON";"6";"42.5860498";"-5.5719786";"987344276";"";"";"1";"";""
"";"1";"I.A.E. DE LLEIDA";"C/ LIBERTAD, 3";"";"";"381";"LLEIDA";"6";"41.6241008";"0.621446";"973249008";"";"";"1";"";""
"";"1";"I.A.E. DE LOGROÑO";"C/DUQUES DE NAJERA, 131-147";"";"";"378";"LOGROÑO";"6";"42.4625614";"-2.4645";"941289914";"";"";"1";"";""
"";"1";"I.A.E. DE LUGO";"PLAZA DE BRETAÑA, 1";"";"";"382";"LUGO";"6";"43.0064995";"-7.5560681";"982221311";"";"";"1";"";""
"";"1";"I.A.E. DE MADRID (TRES CANTOS)";"C/SECTOR ESCULTORES, 10";"";"";"383";"TRES CANTOS";"6";"40.613922";"-3.7145161";"915146989";"";"";"1";"";""
"";"1";"I.A.E. DE MALAGA";"C/ ARROYO LOS ANGELES, 44";"";"";"384";"MALAGA";"6";"36.7284984";"-4.4327393";"952071520";"";"";"1";"";""
"";"1";"I.A.E. DE MELILLA";"PLAZA MARTIN DE CORDOBA, NUM. 7";"";"";"404";"MELILLA";"242";"35.289901";"-2.9505386";"952696033";"";"";"1";"";""
"";"1";"I.A.E. DE MURCIA";"PLAZA INOCENCIO MEDINA VERA, 5";"";"";"385";"MURCIA";"6";"37.9958325";"-1.1288115";"968271262";"";"";"1";"";""
"";"1";"I.A.E. DE NAVALMORAL DE LA MATA";"CTRA. JARANDILLA, 4";"";"10300";"364";"NAVALMORAL DE LA MATA";"6";"39.8946803";"-5.5443575";"927531095";"";"";"1";"";""
"";"1";"I.A.E. DE OÑATE";"AVDA. UNIVERSIDAD VASCA, Nº 11";"";"20560";"374";"OÑATE";"6";"43.0341885";"-2.4869908";"943781269";"";"";"1";"";""
"";"1";"I.A.E. DE ORDICIA";"C/ AGARRE BIDEA, S/N";"";"20240";"374";"ORDICIA";"6";"43.0513412";"-2.1879257";"943880163";"";"";"1";"";""
"";"1";"I.A.E. DE OURENSE";"C/ BIEITO AMADO, 17";"";"";"387";"OURENSE";"6";"42.3274228";"-7.8474562";"988235353";"";"";"1";"";""
"";"1";"I.A.E. DE OVIEDO";"CARRETERA DEL RUBIN, 1";"";"";"358";"OVIEDO";"6";"43.3709631";"-5.8260168";"985119000";"";"";"1";"";""
"";"1";"I.A.E. DE PALENCIA";"AVDA. DE CUBA, 1";"";"";"388";"PALENCIA";"6";"42.0122453";"-4.5266124";"979165243";"";"";"1";"";""
"";"1";"I.A.E. DE PALMA DE MALLORCA";"C/ MANUEL AZAÑA, 10";"";"";"361";"PALMA DE MALLORCA";"244";"39.5704628";"2.6628062";"971774260";"";"";"1";"";""
"";"1";"I.A.E. DE PAMPLONA";"C/ GALICIA, 2";"";"";"386";"PAMPLONA";"6";"42.8092756";"-1.6450551";"948296863";"";"";"1";"";""
"";"1";"I.A.E. DE PLASENCIA";"AVDA. JUAN CARLOS I, 1";"";"10600";"364";"PLASENCIA";"6";"40.0334833";"-6.0889773";"927412308";"";"";"1";"";""
"";"1";"I.A.E. DE PONTEVEDRA";"AVD. DOMINGO FONTAN, 6- POIO";"";"";"389";"PONTEVEDRA";"6";"42.4363485";"-8.653926";"986807900";"";"";"1";"";""
"";"1";"I.A.E. DE SALAMANCA";"AVDA. CARLOS I, 2";"";"";"390";"SALAMANCA";"6";"40.9494072";"-5.6716764";"923127228";"";"";"1";"";""
"";"1";"I.A.E. DE SANTA CRUZ DE TENERIFE";"C/CONDE DE PALLASAR, 3";"";"";"391";"SANTA CRUZ DE TENERIFE";"243";"28.4561154";"-16.288303";"922648500";"";"";"1";"";""
"";"1";"I.A.E. DE SANTANDER";"C/ CAMPOGIRO, 90";"";"";"366";"SANTANDER";"6";"43.4528581";"-3.849939";"942321400";"";"";"1";"";""
"";"1";"I.A.E. DE SEGOVIA";"CTRA. SAN RAFAEL, 1";"";"";"392";"SEGOVIA";"6";"40.9362068";"-4.1142562";"921426363";"";"";"1";"";""
"";"1";"I.A.E. DE SEVILLA";"C/ VILLANUEVA DEL PITAMO, S/N";"";"";"393";"SEVILLA";"6";"37.3459778";"-5.9518768";"954939713";"";"";"1";"";""
"";"1";"I.A.E. DE SORIA";"C/ EDUARDO SAAVEDRA, 6";"";"";"394";"SORIA";"6";"41.7653653";"-2.4812532";"975239428";"";"";"1";"";""
"";"1";"I.A.E. DE TARRAGONA";"C/ MARIA AURELIA CAPMANY S/N";"";"";"395";"TARRAGONA";"6";"41.1250882";"1.2330539";"977237777";"";"";"1";"";""
"";"1";"I.A.E. DE TERUEL";"PLAZA GUARDIA CIVIL, 1";"";"";"396";"TERUEL";"6";"40.3314909";"-1.0960012";"978601300";"";"";"1";"";""
"";"1";"I.A.E. DE TOLEDO";"AVDA. BARBER, 42";"";"";"397";"TOLEDO";"6";"39.8722096";"-4.0405817";"925225900";"";"";"1";"";""
"";"1";"I.A.E. DE TOLOSA";"C/ GARMENDIOLA ALDAPA, Nº 1";"";"20400";"374";"TOLOSA";"6";"43.1301006";"-2.0809236";"943673292";"";"";"1";"";""
"";"1";"I.A.E. DE TRUJILLO";"C/ DEL CUARTEL Nº 4";"";"10200";"364";"TRUJILLO";"6";"39.4514436";"-5.8833144";"927321004";"";"";"1";"";""
"";"1";"I.A.E. DE VALENCIA";"C/CALAMOCHA, 4";"";"";"398";"VALENCIA";"6";"39.4625166";"-0.3908049";"963174660";"";"";"1";"";""
"";"1";"I.A.E. DE VALENCIA DE ALCÁNTARA";"C/ PARQUE DE ESPAÑA, S/N";"";"10500";"364";"VALENCIA DE ALCÁNTARA";"6";"39.4096755";"-7.2499679";"927580721";"";"";"1";"";""
"";"1";"I.A.E. DE VALLADOLID";"AVDA. SORIA, 3";"";"";"399";"VALLADOLID";"6";"41.6410526";"-4.7125607";"983296666";"";"";"1";"";""
"";"1";"I.A.E. DE VITORIA";"C/SANSOMENDI, 4";"";"";"354";"VITORIA-GASTEIZ";"6";"42.8545153";"-2.7002418";"945214309";"";"";"1";"";""
"";"1";"I.A.E. DE ZAMORA";"C/FRAY TORIBIO DE MOTOLINIA, 1";"";"";"401";"ZAMORA";"6";"41.509479";"-5.7463956";"980557741";"";"";"1";"";""
"";"1";"I.A.E. DE ZARAGOZA";"C/RIGLOS,  2 DUPLICADO";"";"";"402";"ZARAGOZA";"6";"41.626817";"-0.9127848";"976550986";"";"";"1";"";""
"";"1";"I.A.E. DE ZARAUTZ";"C/ ARABA, Nº 52 1º B";"";"20800";"374";"ZARAUTZ";"6";"43.1866581";"-2.1935854";"943894369";"";"";"1";"";""
